ProductID,CompetitorPrice,HistoricalPrice,Demand,CustomerSatisfaction,TimeOfDay,DayOfWeek,Price
138,656,431,Low,High,Afternoon,Monday,73
139,719,736,High,Low,Morning,Wednesday,50
140,564,643,High,Medium,Evening,Monday,77
141,608,468,High,Medium,Morning,Thursday,67
142,703,465,High,Low,Morning,Wednesday,57
143,766,666,Medium,Low,Evening,Thursday,45
144,587,493,Low,Medium,Afternoon,Friday,60
145,550,405,High,Low,Afternoon,Thursday,44
146,768,484,High,Medium,Evening,Thursday,46
147,427,412,High,High,Night,Friday,43
148,732,797,Medium,Medium,Night,Wednesday,40
149,688,487,Medium,High,Afternoon,Tuesday,50
150,438,675,High,Low,Evening,Wednesday,43
151,688,578,Low,Medium,Night,Tuesday,40
152,581,639,High,High,Morning,Friday,46
153,620,500,Medium,Low,Night,Tuesday,80
154,474,729,Medium,Low,Afternoon,Wednesday,69
155,439,798,High,High,Night,Wednesday,64
156,400,718,Medium,High,Morning,Monday,71
157,658,521,High,Medium,Night,Tuesday,70
158,429,587,High,Low,Morning,Monday,45
159,559,711,Low,High,Morning,Tuesday,43
160,566,664,High,Low,Afternoon,Friday,73
161,596,711,Medium,Low,Night,Wednesday,56
162,526,480,Low,Low,Morning,Tuesday,56
163,748,690,High,Medium,Morning,Friday,44
164,594,577,Low,Medium,Night,Wednesday,56
165,585,733,High,Low,Evening,Thursday,77
166,725,742,Low,Low,Afternoon,Thursday,43
167,727,449,High,Low,Evening,Wednesday,65
168,763,415,High,High,Night,Tuesday,56
169,652,598,Medium,Low,Night,Tuesday,53
170,736,580,Medium,High,Afternoon,Thursday,61
171,418,619,High,High,Afternoon,Thursday,60
172,450,549,Low,Low,Evening,Tuesday,73
173,742,699,Medium,Medium,Morning,Thursday,56
174,575,537,High,Low,Afternoon,Friday,77
175,544,499,Medium,Low,Morning,Friday,64
176,429,681,Low,Low,Morning,Thursday,60
177,548,476,High,Low,Morning,Wednesday,78
178,577,695,High,Medium,Evening,Wednesday,78
179,615,660,High,Low,Night,Monday,62
180,431,485,High,Low,Afternoon,Tuesday,53
181,637,634,Medium,Low,Night,Friday,48
182,688,618,Low,High,Morning,Friday,50
183,424,574,High,Low,Afternoon,Thursday,74
184,522,672,High,Low,Evening,Monday,79
185,797,513,Low,High,Night,Thursday,51
186,529,526,High,Medium,Night,Thursday,79
187,709,658,Medium,High,Evening,Monday,49
188,548,621,Low,Medium,Morning,Friday,63
189,566,540,Medium,Low,Afternoon,Thursday,57
190,738,674,High,Medium,Night,Thursday,79
191,550,675,High,Medium,Morning,Friday,45
192,742,789,High,Low,Morning,Monday,53
193,487,683,Medium,Medium,Morning,Tuesday,56
194,466,609,High,Medium,Night,Tuesday,60
195,744,442,High,High,Morning,Monday,41
196,513,623,Low,Medium,Night,Wednesday,49
197,419,641,Medium,Low,Night,Thursday,70
198,402,464,High,High,Night,Tuesday,78
199,691,423,High,Low,Evening,Monday,59
200,622,622,Medium,High,Morning,Friday,48
201,776,582,Medium,High,Afternoon,Thursday,50
202,439,551,Medium,Low,Morning,Thursday,57
203,616,436,High,Medium,Night,Wednesday,41
204,553,742,High,High,Morning,Wednesday,77
205,710,406,Medium,High,Morning,Tuesday,59
206,408,411,High,Low,Afternoon,Tuesday,71
207,573,544,Low,High,Night,Wednesday,68
208,518,416,Medium,Low,Evening,Tuesday,50
209,726,444,Low,Low,Morning,Tuesday,79
210,479,554,Low,Medium,Evening,Monday,77
211,483,760,Medium,High,Night,Monday,78
212,718,559,High,High,Evening,Wednesday,51
213,425,799,High,High,Evening,Thursday,51
214,723,667,Low,Medium,Night,Monday,68
215,472,524,Medium,High,Night,Monday,50
216,458,586,Medium,Medium,Evening,Friday,45
217,454,471,Medium,Low,Afternoon,Friday,47
218,566,679,High,Medium,Morning,Thursday,61
219,549,456,Low,Medium,Evening,Thursday,75
220,513,409,Low,Medium,Afternoon,Friday,48
221,471,596,Medium,Medium,Morning,Monday,40
222,419,613,Medium,High,Morning,Thursday,61
223,747,581,Medium,Low,Afternoon,Thursday,49
224,564,498,Low,Low,Morning,Thursday,45
225,427,482,Low,Medium,Evening,Thursday,77
226,720,670,High,Low,Evening,Friday,49
227,495,538,Low,High,Afternoon,Tuesday,67
228,655,495,High,High,Evening,Wednesday,52
229,504,676,Medium,Low,Afternoon,Thursday,80
230,544,485,Low,High,Morning,Wednesday,60
231,634,533,Medium,High,Afternoon,Friday,65
232,699,614,High,Low,Morning,Wednesday,41
233,425,657,Low,High,Morning,Wednesday,73
234,733,471,High,Medium,Evening,Thursday,56
235,407,727,High,Medium,Night,Wednesday,77
236,544,412,Low,High,Night,Tuesday,60
237,656,466,High,Low,Morning,Monday,58
238,624,700,Medium,Medium,Morning,Thursday,60
239,543,483,Low,High,Night,Tuesday,73
240,623,465,Low,High,Night,Monday,44
241,588,767,Low,Medium,Evening,Tuesday,76
242,689,570,High,Low,Morning,Wednesday,77
243,633,753,Medium,Medium,Afternoon,Wednesday,67
244,776,695,High,Low,Evening,Monday,58
245,505,456,Low,Low,Night,Friday,60
246,597,794,Medium,Medium,Evening,Tuesday,67
247,495,623,Medium,Medium,Morning,Monday,57
248,799,666,High,Medium,Morning,Thursday,66
249,683,714,Low,Low,Evening,Wednesday,61
250,778,605,High,Medium,Evening,Wednesday,67
251,573,490,High,Low,Afternoon,Tuesday,59
252,640,520,High,Medium,Afternoon,Friday,71
253,406,780,Medium,High,Night,Friday,77
254,776,466,Low,Medium,Night,Friday,46
255,422,545,High,Low,Night,Monday,48
256,504,797,High,High,Night,Monday,52
257,656,718,Low,High,Afternoon,Tuesday,80
258,442,577,Medium,Low,Night,Monday,70
259,614,788,Low,Medium,Night,Tuesday,76
260,437,469,High,Medium,Morning,Friday,69
261,663,432,High,High,Evening,Tuesday,74
262,548,678,Low,Low,Afternoon,Wednesday,58
263,632,459,Medium,High,Night,Monday,73
264,554,624,Low,Medium,Night,Tuesday,73
265,535,575,High,Low,Afternoon,Monday,40
266,444,639,Low,Low,Night,Tuesday,40
267,582,440,High,High,Evening,Wednesday,45
268,493,414,High,Medium,Evening,Wednesday,74
269,527,403,High,Medium,Afternoon,Friday,72
270,411,784,High,Low,Morning,Wednesday,68
271,487,689,High,High,Morning,Tuesday,60
272,778,448,Medium,Medium,Night,Thursday,51
273,642,455,High,High,Morning,Tuesday,48
274,546,772,Medium,Low,Morning,Wednesday,65
275,455,769,Low,Low,Evening,Monday,53
276,758,693,Medium,High,Morning,Friday,72
277,492,634,High,Low,Morning,Monday,49
278,584,742,Medium,High,Morning,Wednesday,59
279,613,712,Medium,Low,Afternoon,Wednesday,75
280,730,686,Medium,Medium,Morning,Tuesday,63
281,493,623,High,Low,Afternoon,Monday,63
282,546,505,High,Medium,Afternoon,Thursday,67
283,590,527,High,High,Morning,Monday,80
284,636,638,Low,Medium,Night,Monday,75
285,765,622,High,High,Afternoon,Monday,49
286,645,625,Low,High,Morning,Thursday,62
287,648,783,High,Low,Morning,Wednesday,67
288,730,464,High,Medium,Evening,Wednesday,58
289,741,686,Medium,Medium,Afternoon,Thursday,41
290,632,512,Medium,Medium,Afternoon,Tuesday,51
291,640,462,Low,High,Night,Wednesday,57
292,459,797,Low,Low,Evening,Tuesday,68
293,705,652,Medium,High,Morning,Friday,64
294,503,775,Medium,Low,Morning,Tuesday,78
295,602,618,Medium,High,Afternoon,Friday,41
296,710,422,Low,High,Morning,Thursday,64
297,446,559,Medium,Medium,Evening,Friday,43
298,687,593,High,High,Evening,Monday,62
299,644,475,Low,High,Afternoon,Wednesday,78
300,719,636,High,High,Evening,Wednesday,49
301,440,742,High,High,Evening,Friday,43
302,565,727,High,High,Night,Wednesday,56
303,655,466,High,Medium,Evening,Thursday,58
304,604,458,Medium,Low,Night,Thursday,76
305,782,421,Low,High,Morning,Friday,41
306,632,423,Medium,Low,Night,Thursday,44
307,478,678,High,Medium,Night,Thursday,50
308,459,711,Low,Low,Night,Monday,67
309,572,774,Low,Low,Morning,Monday,50
310,642,485,High,High,Afternoon,Wednesday,46
311,625,465,Low,Low,Night,Thursday,66
312,689,675,Low,Low,Afternoon,Friday,42
313,453,472,Medium,High,Evening,Thursday,56
314,729,463,Medium,High,Morning,Thursday,53
315,753,611,High,High,Night,Monday,80
316,458,538,Low,Low,Night,Thursday,74
317,621,498,High,Low,Night,Tuesday,71
318,550,485,High,Medium,Afternoon,Friday,44
319,764,481,High,Medium,Night,Friday,47
320,411,746,Low,High,Afternoon,Monday,42
321,578,624,Medium,Medium,Afternoon,Monday,60
322,785,760,High,Medium,Night,Monday,75
323,661,541,High,Low,Night,Friday,46
324,789,564,High,Medium,Morning,Friday,70
325,460,416,High,High,Night,Thursday,62
326,434,760,Low,Medium,Evening,Thursday,63
327,760,558,Medium,High,Afternoon,Wednesday,40
328,550,485,High,Low,Morning,Thursday,67
329,546,682,Low,High,Evening,Thursday,79
330,796,439,High,Low,Afternoon,Tuesday,40
331,595,734,Low,Medium,Night,Tuesday,78
332,451,443,Low,High,Night,Tuesday,67
333,746,660,Medium,Low,Afternoon,Monday,53
334,529,641,Medium,High,Morning,Tuesday,42
335,563,705,Medium,High,Evening,Monday,49
336,469,569,Medium,Low,Morning,Thursday,79
337,791,611,Low,High,Evening,Friday,50
338,708,465,High,High,Afternoon,Tuesday,77
339,716,775,Medium,High,Evening,Friday,61
340,432,409,Low,Low,Night,Thursday,55
341,726,747,High,Medium,Afternoon,Friday,76
342,477,634,High,High,Afternoon,Monday,64
343,643,800,High,High,Night,Tuesday,52
344,720,615,High,High,Morning,Friday,41
345,780,443,Low,Medium,Afternoon,Tuesday,60
346,594,460,Low,Medium,Evening,Thursday,77
347,712,401,Low,Low,Night,Tuesday,76
348,580,554,Medium,Medium,Afternoon,Monday,74
349,420,610,Low,Low,Night,Friday,68
350,439,787,Medium,High,Morning,Monday,55
351,441,560,Medium,High,Morning,Tuesday,73
352,792,561,High,Low,Afternoon,Friday,62
353,511,484,Medium,Low,Morning,Friday,61
354,658,589,Low,Medium,Afternoon,Wednesday,77
355,627,603,High,High,Night,Thursday,50
356,583,786,High,High,Morning,Wednesday,71
357,658,427,Low,High,Night,Thursday,54
358,556,791,High,Low,Night,Wednesday,50
359,748,447,High,Low,Evening,Wednesday,41
360,433,530,Low,High,Afternoon,Wednesday,72
361,585,566,Medium,Low,Afternoon,Wednesday,44
362,768,553,Medium,High,Morning,Monday,64
363,716,640,Medium,High,Evening,Tuesday,57
364,449,411,Low,High,Evening,Monday,40
365,502,597,Low,Medium,Afternoon,Friday,49
366,600,507,Medium,Medium,Morning,Tuesday,77
367,746,535,Low,Low,Evening,Monday,56
368,746,667,Medium,Low,Morning,Wednesday,56
369,400,520,High,Low,Night,Tuesday,62
370,477,482,Low,Medium,Morning,Wednesday,52
371,612,732,Medium,High,Evening,Monday,72
372,445,787,Low,Low,Morning,Monday,43
373,698,489,Medium,Low,Afternoon,Tuesday,48
374,563,470,Medium,Medium,Night,Friday,71
375,474,608,High,High,Afternoon,Thursday,76
376,640,733,Low,Medium,Morning,Wednesday,51
377,553,528,High,Medium,Morning,Tuesday,70
378,412,550,Low,Low,Morning,Thursday,58
379,643,768,Medium,High,Evening,Monday,67
380,607,478,Low,High,Morning,Thursday,58
381,772,632,Medium,Medium,Afternoon,Wednesday,79
382,749,514,Low,Low,Evening,Wednesday,74
383,542,615,High,Low,Evening,Friday,52
384,590,717,Medium,Low,Morning,Wednesday,77
385,625,616,High,Medium,Night,Wednesday,69
386,722,441,Low,Medium,Evening,Thursday,58
387,613,753,Medium,Low,Night,Monday,52
388,600,605,Low,High,Morning,Tuesday,47
389,424,414,Low,Low,Afternoon,Monday,52
390,468,794,Low,High,Afternoon,Thursday,63
391,681,616,Low,Medium,Morning,Thursday,40
392,734,566,Medium,High,Afternoon,Tuesday,54
393,540,730,Medium,Low,Afternoon,Tuesday,60
394,750,401,High,Medium,Night,Tuesday,54
395,400,599,Medium,High,Morning,Friday,77
396,443,568,Low,Low,Afternoon,Friday,48
397,439,697,Low,High,Afternoon,Wednesday,72
398,748,618,Low,Medium,Night,Thursday,55
399,519,589,High,Medium,Night,Thursday,55
400,673,692,High,Low,Evening,Wednesday,53
401,561,503,Medium,High,Morning,Wednesday,50
402,798,619,Low,High,Evening,Friday,49
403,566,748,Low,High,Afternoon,Tuesday,74
404,684,798,Medium,Low,Night,Wednesday,59
405,723,552,Medium,High,Afternoon,Monday,67
406,523,609,High,Low,Night,Friday,60
407,559,691,High,Medium,Night,Friday,64
408,667,721,Low,Medium,Afternoon,Friday,71
409,484,428,Low,Low,Night,Wednesday,80
410,721,764,Medium,High,Night,Thursday,71
411,796,615,Medium,High,Night,Wednesday,76
412,418,436,Medium,High,Evening,Thursday,67
413,636,594,High,High,Night,Thursday,46
414,412,537,High,High,Morning,Monday,58
415,587,529,Low,High,Afternoon,Monday,47
416,595,600,Low,Medium,Night,Wednesday,66
417,499,536,High,Medium,Morning,Thursday,57
418,696,624,Low,Low,Morning,Wednesday,46
419,657,721,Low,Medium,Evening,Friday,57
420,705,720,Low,Low,Evening,Friday,58
421,516,556,Medium,Medium,Night,Friday,48
422,628,652,Medium,Medium,Afternoon,Wednesday,80
423,592,488,Medium,Medium,Morning,Thursday,71
424,694,543,Low,Medium,Evening,Friday,42
425,604,637,Low,Medium,Morning,Wednesday,57
426,796,711,Low,Medium,Afternoon,Thursday,64
427,501,793,Low,Medium,Afternoon,Friday,60
428,514,637,Low,Medium,Afternoon,Tuesday,44
429,753,565,Medium,High,Evening,Friday,63
430,426,595,Low,Low,Afternoon,Thursday,54
431,444,654,Medium,Low,Morning,Wednesday,78
432,581,611,Low,High,Evening,Friday,78
433,429,550,High,High,Evening,Friday,59
434,683,616,High,Low,Night,Thursday,59
435,721,410,Medium,Low,Night,Monday,74
436,779,557,Medium,High,Morning,Wednesday,59
437,440,792,Low,Medium,Evening,Tuesday,60
438,688,650,High,Medium,Morning,Friday,53
439,536,408,Low,High,Evening,Wednesday,66
440,471,554,Medium,Low,Morning,Monday,63
441,503,723,Medium,Low,Night,Tuesday,71
442,415,409,Medium,Medium,Afternoon,Thursday,75
443,472,726,Low,Low,Afternoon,Thursday,47
444,732,796,Medium,Low,Evening,Tuesday,42
445,554,402,Low,Medium,Evening,Tuesday,48
446,549,707,Low,Low,Evening,Friday,76
447,756,599,Medium,High,Afternoon,Wednesday,56
448,572,532,Medium,Medium,Evening,Friday,43
449,795,466,Low,Medium,Evening,Tuesday,50
450,683,761,Low,Medium,Afternoon,Monday,62
451,658,686,High,Low,Night,Tuesday,78
452,420,768,Medium,Low,Night,Monday,75
453,592,596,High,Low,Afternoon,Monday,58
454,709,433,Low,Medium,Evening,Wednesday,63
455,724,495,High,Low,Night,Friday,54
456,401,790,Low,High,Evening,Thursday,66
457,556,541,Medium,High,Morning,Tuesday,59
458,624,578,Low,Low,Afternoon,Monday,42
459,571,771,High,High,Afternoon,Tuesday,63
460,584,553,Medium,High,Evening,Thursday,48
461,584,616,Medium,Low,Night,Friday,45
462,523,776,Low,Low,Afternoon,Friday,80
463,484,589,Medium,Medium,Evening,Wednesday,43
464,490,654,Medium,Low,Evening,Thursday,53
465,473,411,Medium,Low,Morning,Friday,41
466,628,665,High,High,Night,Thursday,46
467,407,725,Low,Medium,Evening,Tuesday,63
468,474,425,High,Low,Evening,Thursday,44
469,733,443,Low,Low,Night,Tuesday,51
470,560,606,Medium,High,Night,Thursday,63
471,508,656,Low,Low,Evening,Tuesday,41
472,694,488,Low,Low,Evening,Tuesday,52
473,507,699,Medium,Low,Afternoon,Tuesday,59
474,613,531,Low,High,Morning,Tuesday,65
475,700,599,High,Low,Morning,Monday,56
476,551,623,Medium,Medium,Afternoon,Thursday,55
477,758,472,Low,High,Morning,Friday,57
478,615,673,Low,High,Night,Friday,46
479,678,791,Medium,High,Evening,Thursday,77
480,742,665,High,Low,Afternoon,Thursday,47
481,640,697,Medium,Low,Afternoon,Friday,47
482,692,721,Medium,Low,Afternoon,Thursday,68
483,631,660,Medium,Medium,Evening,Tuesday,43
484,558,560,Medium,Medium,Evening,Tuesday,75
485,723,534,Medium,High,Afternoon,Tuesday,60
486,590,446,Medium,Low,Afternoon,Thursday,52
487,723,431,Low,Low,Night,Tuesday,51
488,688,571,Medium,Low,Evening,Wednesday,54
489,570,645,Low,Medium,Afternoon,Wednesday,65
490,586,550,Low,High,Afternoon,Wednesday,51
491,425,638,Medium,Medium,Afternoon,Tuesday,52
492,536,415,High,High,Morning,Thursday,40
493,526,761,Medium,Low,Night,Monday,48
494,706,520,Low,Low,Night,Wednesday,71
495,534,559,Medium,High,Afternoon,Tuesday,49
496,738,761,Medium,High,Night,Friday,69
497,719,565,Medium,Low,Evening,Tuesday,80
498,779,425,Medium,Low,Evening,Thursday,67
499,427,484,High,High,Evening,Wednesday,54
500,691,512,Medium,High,Morning,Friday,41
501,605,609,Low,Low,Evening,Monday,48
502,736,689,Low,Medium,Afternoon,Thursday,77
503,548,510,Medium,Medium,Evening,Thursday,44
504,527,696,High,Medium,Evening,Friday,76
505,579,713,Medium,Low,Night,Tuesday,65
506,604,570,Medium,High,Night,Friday,80
507,479,716,Low,Medium,Morning,Monday,73
508,601,620,High,Low,Evening,Thursday,64
509,462,719,Low,High,Evening,Thursday,54
510,473,635,Medium,High,Evening,Thursday,53
511,583,705,Medium,High,Evening,Monday,54
512,693,737,Medium,High,Night,Monday,54
513,494,422,Low,Low,Afternoon,Monday,54
514,743,573,Low,Low,Night,Wednesday,69
515,674,583,Medium,High,Evening,Friday,61
516,605,487,High,Medium,Night,Friday,75
517,765,558,Low,High,Afternoon,Friday,53
518,413,718,Low,High,Night,Thursday,47
519,795,755,Low,Low,Night,Thursday,72
520,496,630,Low,Medium,Afternoon,Tuesday,42
521,452,480,Medium,High,Morning,Monday,79
522,562,528,Low,High,Night,Monday,42
523,412,704,Medium,High,Evening,Wednesday,78
524,729,412,Medium,Low,Morning,Monday,79
525,769,407,Medium,Low,Morning,Wednesday,59
526,624,547,High,Low,Night,Friday,70
527,791,540,Low,Low,Night,Tuesday,69
528,733,599,Low,High,Evening,Wednesday,49
529,781,599,Low,Low,Evening,Monday,62
530,565,497,Medium,High,Night,Tuesday,75
531,482,402,High,Low,Night,Friday,68
532,696,564,High,High,Afternoon,Monday,74
533,688,660,High,Low,Morning,Wednesday,62
534,678,659,Low,High,Morning,Thursday,70
535,400,551,Low,Medium,Afternoon,Monday,48
536,640,529,Low,Low,Morning,Thursday,79
537,733,561,Low,High,Evening,Thursday,47
538,472,548,Low,High,Evening,Tuesday,63
539,698,501,Medium,Low,Night,Friday,43
540,517,417,Low,Low,Afternoon,Wednesday,48
541,420,498,High,Low,Night,Monday,72
542,550,748,Low,High,Night,Tuesday,75
543,705,688,Medium,Medium,Night,Tuesday,74
544,471,682,High,High,Night,Friday,60
545,574,583,Medium,Medium,Evening,Tuesday,55
546,581,756,Medium,Medium,Evening,Tuesday,79
547,796,794,High,Medium,Night,Thursday,77
548,531,601,High,High,Afternoon,Tuesday,54
549,762,773,Low,High,Afternoon,Monday,61
550,406,470,Medium,High,Night,Monday,76
551,608,693,Medium,Low,Afternoon,Monday,46
552,789,566,Low,Medium,Afternoon,Thursday,50
553,580,665,Low,High,Night,Wednesday,42
554,531,461,Medium,Low,Morning,Thursday,80
555,582,797,Medium,High,Night,Tuesday,58
556,797,726,Medium,High,Morning,Monday,57
557,674,608,High,High,Afternoon,Friday,46
558,646,685,Medium,Medium,Night,Wednesday,60
559,405,650,Low,High,Night,Wednesday,71
560,761,546,High,Low,Night,Friday,55
561,725,649,Low,High,Evening,Tuesday,62
562,519,587,High,Low,Morning,Thursday,45
563,423,671,Low,Medium,Morning,Friday,66
564,411,795,Medium,High,Evening,Wednesday,53
565,646,591,High,Medium,Morning,Friday,62
566,619,495,Low,High,Evening,Friday,54
567,758,734,High,High,Afternoon,Tuesday,67
568,423,609,Low,Low,Morning,Thursday,56
569,640,436,High,Medium,Evening,Monday,71
570,460,587,Medium,Medium,Afternoon,Friday,46
571,555,572,Medium,Low,Evening,Thursday,69
572,463,657,High,Medium,Morning,Friday,50
573,583,573,Low,Low,Night,Friday,41
574,482,779,Low,Medium,Morning,Thursday,56
575,480,504,Low,High,Evening,Monday,59
576,622,693,Low,Low,Morning,Wednesday,53
577,701,736,Low,Medium,Afternoon,Thursday,61
578,723,747,Low,Low,Morning,Wednesday,41
579,781,736,Low,Medium,Night,Wednesday,67
580,655,413,Low,Low,Evening,Friday,77
581,508,503,High,Medium,Morning,Wednesday,40
582,455,664,Low,Low,Night,Friday,54
583,742,661,Low,Medium,Morning,Thursday,68
584,731,673,High,Low,Morning,Monday,62
585,696,750,High,Low,Afternoon,Friday,44
586,555,595,Medium,Low,Morning,Monday,52
587,530,686,Medium,Low,Night,Thursday,47
588,535,568,Low,Low,Night,Monday,76
589,621,558,High,Medium,Night,Monday,77
590,557,717,Low,Low,Evening,Tuesday,68
591,465,533,High,Low,Afternoon,Thursday,72
592,618,797,Low,Low,Afternoon,Wednesday,58
593,528,554,Low,High,Afternoon,Monday,49
594,541,720,Low,High,Afternoon,Wednesday,75
595,668,594,Low,Low,Night,Friday,72
596,450,785,Medium,High,Morning,Thursday,44
597,462,539,Low,Low,Evening,Monday,60
