product_id,product_price,product_quantity,customer_id,order_id,order_timestamp,initial_price,final_price
PUUW,13.15,9,CINA,OWEI,2023-09-27 20:30:29,13.15,14.26
PAPQ,18.68,4,CFYO,OWOC,2023-10-23 20:31:42,18.68,15.49
PZRX,31.79,1,CHAR,OMOJ,2023-01-23 07:53:49,31.79,31.23
PYZE,49.6,3,CUHZ,OIAK,2023-02-21 07:44:56,49.6,48.93
PMEN,78.79,6,CZFQ,OUHB,2023-11-28 18:20:53,78.79,79.72
PRHG,22.3,6,CNZN,OBDX,2023-10-03 18:26:13,22.3,20.41
PRDX,97.81,10,CKXK,OIUQ,2023-03-19 12:39:38,97.81,116.46
PYHK,41.69,6,CAZR,OQHW,2023-03-22 00:16:06,41.69,36.01
PSYU,74.17,6,CQWL,OXMH,2023-11-27 06:58:03,74.17,66.51
PSTF,38.57,3,CMYN,OONA,2023-04-26 11:46:45,38.57,41.01
PMTX,12.05,7,CQWL,OPIG,2023-10-08 18:44:35,12.05,13.72
PNAB,91.62,6,CUZB,OYMR,2023-11-25 16:07:17,91.62,105.59
PWBT,28.79,1,CZDA,OKSF,2023-01-24 18:23:56,28.79,29.25
PDDY,45.36,4,CJTC,OSLY,2023-01-06 06:10:47,45.36,41.8
PGUI,62.69,7,CFZS,OQYW,2023-11-20 15:12:49,62.69,66.07
PEDZ,68.02,7,CIIE,OJSF,2023-08-08 19:45:39,68.02,68.95
PXFT,55.02,8,CYBY,OYXQ,2023-05-02 02:54:50,55.02,45.27
PFEA,52.14,6,CKSK,OKZH,2023-07-25 09:06:53,52.14,50.73
POJE,88.4,6,CJKW,OHJJ,2023-08-04 19:46:40,88.4,94.05
PKSB,78.1,7,CTAI,ONRV,2023-10-26 07:40:44,78.1,70.38
PDHC,86.33,3,CRPO,OKOO,2023-06-08 08:04:38,86.33,95.13
PAES,79.88,3,CJOO,OCZZ,2023-03-09 13:57:41,79.88,72.55
PZPH,75.73,8,CFDT,OSKK,2023-08-19 05:23:35,75.73,62.86
PKVA,79.94,1,CVBY,OXRZ,2023-07-03 20:56:28,79.94,91.59
PIVF,10.95,2,CETZ,OIMH,2023-02-15 07:19:17,10.95,12.68
PGYX,53.13,7,CVAS,OWCE,2023-05-18 15:21:52,53.13,44.39
PMEY,21.61,5,CEFN,OKQT,2023-01-01 11:46:21,21.61,24.17
PGZP,71.82,8,CXNF,OIZG,2023-04-14 20:23:53,71.82,68.33
PJAF,56.03,1,CNXY,OZEX,2023-02-21 18:55:14,56.03,58.01
PLJY,49.98,4,CDYG,OWNL,2023-01-18 08:21:33,49.98,49.0
PNDO,55.51,7,CAOU,OXJY,2023-02-28 11:08:35,55.51,66.09
PZDD,40.8,7,CYPA,OBTA,2023-12-13 21:26:56,40.8,47.55
PAJC,89.95,9,CNGJ,OXBH,2023-08-08 13:10:25,89.95,107.8
PWTO,95.96,9,CPIR,ONDV,2023-05-18 03:16:54,95.96,109.74
PGBK,99.24,2,CPBF,OAOP,2023-02-08 18:23:25,99.24,90.32
PKNF,67.71,7,CIEK,OVGI,2023-11-08 17:12:52,67.71,79.39
PLRQ,78.81,7,CZCE,OLLM,2023-03-12 05:40:51,78.81,67.75
PVLA,59.76,5,CFAH,OVRD,2023-08-20 19:29:33,59.76,65.19
PDRR,89.43,2,CGJH,OIBQ,2023-11-19 20:24:19,89.43,97.61
PWQH,29.12,7,CAGG,OOQI,2023-05-31 16:42:19,29.12,33.77
PSRC,29.96,10,CRUX,OYEM,2023-03-06 03:02:02,29.96,30.69
PRUG,33.84,1,CJWT,OTKU,2023-09-27 11:46:52,33.84,35.97
PBUO,12.78,2,CZMV,OPLJ,2023-06-03 13:13:26,12.78,10.24
PHZD,94.53,3,CPCT,OTEO,2023-06-09 23:47:23,94.53,87.45
PRMS,12.32,4,CWGM,OLTL,2023-02-03 13:05:57,12.32,14.56
PXXH,69.75,2,CLBX,OFLX,2023-07-14 21:54:07,69.75,63.53
PPIJ,99.49,1,CLUR,ORQL,2023-10-31 11:57:53,99.49,113.57
PDBJ,17.04,9,CNYO,OJVX,2023-10-04 06:56:21,17.04,19.08
PVHS,28.46,10,CNFI,OHCT,2023-02-17 06:41:32,28.46,31.24
PGBL,21.38,8,CLEH,OKBU,2023-10-11 14:01:18,21.38,21.79
PJED,66.88,8,CLVK,OHKJ,2023-10-08 12:50:36,66.88,67.05
PUNH,60.91,1,CNZF,OHEZ,2023-04-26 01:26:37,60.91,64.76
PVYS,59.02,4,CDXZ,OTNL,2023-08-23 18:41:49,59.02,57.83
PCZX,44.72,1,CHTP,OBMG,2023-09-23 11:14:32,44.72,40.25
PXKC,82.67,6,CCGB,OSXI,2023-12-12 01:29:02,82.67,93.94
PDYT,34.98,10,CQKZ,ORQC,2023-08-24 17:59:10,34.98,34.77
PPFB,96.49,7,CBLZ,OLSF,2023-07-11 23:02:33,96.49,103.73
PYMF,41.06,3,CXMW,OIBC,2023-02-15 07:56:51,41.06,34.73
PCMS,21.12,10,CYOG,OTMO,2023-03-13 08:28:12,21.12,23.93
PNHA,80.84,7,CQQM,OTVD,2023-02-08 21:01:03,80.84,73.14
PPKQ,28.84,10,CJFQ,OTKI,2023-02-07 18:07:27,28.84,31.87
PRAD,66.04,2,CUQO,OKZM,2023-11-18 21:51:39,66.04,60.43
PVEF,26.19,6,CDCX,OILS,2023-07-12 22:18:06,26.19,24.71
PLNJ,12.22,4,CDTE,OJAR,2023-01-28 09:55:18,12.22,12.6
PHVF,17.55,3,CJGT,OBRT,2023-05-31 04:13:27,17.55,18.76
PGSW,56.63,3,CSQB,OOZI,2023-07-23 02:43:26,56.63,45.67
PHWF,25.6,8,CNNG,OMQV,2023-03-02 22:26:51,25.6,20.98
PSTA,27.29,7,CAJG,OVPL,2023-03-30 17:56:31,27.29,24.96
PMLJ,12.93,8,CSNO,ODTG,2023-09-10 08:37:35,12.93,14.65
PMYQ,21.85,10,CIDI,OHZF,2023-02-20 06:08:48,21.85,23.21
PCDF,98.19,2,CDPI,OFUQ,2023-08-26 15:03:52,98.19,84.24
PKVR,59.2,5,CFVD,ODLY,2023-08-20 13:31:03,59.2,48.38
PPDG,31.69,7,CIQG,OKGC,2023-06-12 04:56:58,31.69,30.04
PPDP,43.23,1,CEMT,OUXK,2023-05-24 17:22:07,43.23,39.48
PUZO,58.61,3,CDSE,OXXR,2023-03-15 03:48:49,58.61,68.33
PMYA,36.04,3,CLTK,ODCZ,2023-06-04 06:37:51,36.04,39.52
PFQX,35.59,4,CMGN,OUEM,2023-10-15 11:23:50,35.59,38.57
PLOY,81.26,8,CIBM,OMJW,2023-11-21 22:57:49,81.26,88.99
PZOV,92.06,1,CXQD,OLJN,2023-03-08 17:20:52,92.06,79.46
PSJO,35.86,8,CXHO,OVZL,2023-09-12 01:44:50,35.86,30.95
PFSH,17.52,4,COUD,OGDF,2023-08-20 13:28:18,17.52,19.88
PJUD,38.74,10,COLE,OZPB,2023-06-28 16:16:09,38.74,40.43
PFKG,43.6,7,CFFY,OLXL,2023-09-11 11:42:51,43.6,38.18
PEQC,63.17,2,CGCU,ONYV,2023-05-08 20:08:16,63.17,62.98
PBRG,97.76,6,CQSS,OQUH,2023-11-25 09:35:33,97.76,106.65
PTFP,24.88,5,CKNY,ORZM,2023-10-27 23:41:16,24.88,24.86
PFWL,35.65,4,CRVP,OHNW,2023-11-26 08:41:51,35.65,35.35
PLUY,88.91,10,CAHK,OLOF,2023-07-24 01:31:43,88.91,79.19
PCNH,63.37,7,CKUN,OAUE,2023-11-19 15:12:24,63.37,70.85
PBRE,44.67,7,CKUW,OKBD,2023-06-01 11:05:57,44.67,35.92
PTJM,40.68,2,CPCT,OLQB,2023-08-18 03:21:40,40.68,45.53
PNGT,92.74,5,CRQN,OCSH,2023-07-28 18:33:40,92.74,97.68
PEWN,20.25,5,CVZM,OFEP,2023-05-09 04:32:34,20.25,22.37
PYWN,84.79,2,COJK,OMTU,2023-09-21 23:51:24,84.79,101.7
PPTR,16.67,3,CBMZ,OOLZ,2023-10-31 05:01:07,16.67,14.04
PUNL,70.36,4,CCWP,ONHL,2023-12-08 00:42:39,70.36,80.28
PVHD,33.5,3,CLLH,OSXA,2023-01-22 21:57:43,33.5,37.53
PKFF,72.36,6,CMQQ,OWFG,2023-01-16 16:19:25,72.36,72.95
PZZK,21.1,10,CPAC,OEDC,2023-04-06 17:28:02,21.1,20.86
PQUW,39.07,6,CLYY,ONSE,2023-03-30 12:16:29,39.07,45.28
PISH,29.78,8,CTCU,OQFX,2023-06-27 04:04:34,29.78,30.28
PTSG,72.84,9,CDUK,OSQJ,2023-04-26 14:54:00,72.84,64.53
PHJM,22.53,10,CXZC,OKTJ,2023-06-30 14:38:33,22.53,26.36
PIYM,97.03,8,CYPD,OGTM,2023-12-07 15:13:21,97.03,91.64
PQGT,49.06,6,CREO,OFVL,2023-07-22 18:08:28,49.06,39.8
PJGG,56.39,1,CVSH,OWWW,2023-05-29 12:52:02,56.39,54.49
PWEK,83.67,4,CBEQ,OSFK,2023-03-04 05:33:58,83.67,77.07
PPMU,14.8,7,CQAB,ORGW,2023-01-08 22:33:23,14.8,14.89
PAZP,23.83,8,CPLD,OTKU,2023-10-14 02:36:24,23.83,19.33
PXKB,50.89,9,CEAV,OBOB,2023-11-11 04:04:14,50.89,45.08
PXNL,90.98,1,CYIV,OWPP,2023-04-08 02:27:24,90.98,100.81
PYAB,95.95,2,CKLF,OLHN,2023-10-08 00:21:26,95.95,92.24
PJYJ,33.5,8,CDGK,OJIW,2023-08-16 23:31:58,33.5,29.69
PAVB,79.49,3,CXUB,OSAC,2023-01-25 19:46:14,79.49,92.08
PAFL,35.9,6,CCMM,OAOB,2023-11-19 15:27:23,35.9,37.96
PODT,87.23,6,CETA,OAGE,2023-11-24 04:28:47,87.23,101.13
PAKB,56.62,9,CTYO,OQYE,2023-09-25 12:05:34,56.62,64.93
PNFC,72.31,3,CALF,OJCY,2023-12-30 01:52:29,72.31,82.67
PAGI,28.59,5,CIKC,OJHC,2023-04-22 15:00:38,28.59,31.71
PDKF,95.54,6,CMNA,OAOW,2023-12-25 14:24:30,95.54,91.65
PHWK,35.39,10,CCRQ,OEKS,2023-07-26 10:23:11,35.39,28.33
PXSM,40.32,10,COPN,OOEG,2023-04-10 08:00:22,40.32,34.26
PIXH,28.78,5,CJKL,OXQV,2023-09-30 07:18:03,28.78,26.51
PUSV,51.75,10,CLHW,OEMU,2023-06-24 17:18:12,51.75,53.39
PLDD,70.2,9,CCLX,OCTG,2023-01-21 09:39:00,70.2,56.52
PXOH,76.12,8,COIY,OUZD,2023-04-12 06:24:36,76.12,84.25
PCMV,69.03,3,CLDV,ODXG,2023-01-20 03:21:04,69.03,82.58
PLBG,98.52,5,CDUP,OOIC,2023-12-20 06:48:06,98.52,92.11
PEJQ,25.27,9,CAJN,OXQL,2023-04-11 18:00:29,25.27,23.14
PDQK,82.85,8,CULS,OSNG,2023-10-12 03:58:47,82.85,91.45
PPLI,27.33,7,COHI,OAHK,2023-12-26 14:22:24,27.33,29.68
PDYQ,75.88,6,CCCI,ODTC,2023-08-25 09:05:16,75.88,89.61
PVPW,16.08,8,CDPM,ODOI,2023-10-02 08:22:02,16.08,17.22
PFVK,83.17,9,COUN,OBQI,2023-01-11 16:22:13,83.17,89.79
PGDE,49.47,1,CGQG,OJTT,2023-08-13 01:56:48,49.47,53.43
PWGY,59.98,4,CZLE,OQLL,2023-06-04 22:45:49,59.98,54.52
PZBE,85.76,2,CHZR,OBYO,2023-02-21 03:51:35,85.76,96.75
PYAE,57.74,4,CDMV,OLPL,2023-09-19 23:06:43,57.74,49.54
PGMU,48.44,10,CBPI,OKPW,2023-10-17 01:06:23,48.44,48.41
PHHA,17.44,6,CERX,OWZH,2023-09-26 08:01:32,17.44,16.5
PTRX,77.42,3,CXBB,OVEX,2023-02-10 12:19:45,77.42,88.87
PXDN,30.64,2,CCJY,OAWO,2023-12-19 17:49:46,30.64,27.99
PMGB,53.35,5,CQMV,OUZK,2023-08-30 23:43:53,53.35,49.59
PCIS,87.86,7,CWRD,OWFF,2023-11-20 04:43:31,87.86,74.67
PYCJ,28.28,10,CVCW,OBDR,2023-01-18 12:39:53,28.28,28.4
PSKQ,86.28,5,CYQN,OSTG,2023-12-15 22:49:45,86.28,100.52
PHPT,38.62,9,CBXN,OUAT,2023-04-26 23:39:51,38.62,35.58
PSMJ,55.85,1,CHEE,OKXQ,2023-05-07 05:39:35,55.85,47.66
PGQR,21.29,2,CMSS,OADR,2023-08-24 11:00:40,21.29,20.31
PSHS,41.18,6,CUKT,OAPL,2023-02-09 02:59:35,41.18,45.98
PWUU,83.19,4,CSTE,OXBV,2023-07-08 21:35:56,83.19,97.44
PDNB,47.61,8,CXCM,ORWP,2023-02-01 03:59:57,47.61,48.91
PTCT,60.27,5,CUXR,OTWI,2023-01-11 19:53:05,60.27,49.11
PMJY,76.12,8,CQBA,OSCQ,2023-03-21 11:42:47,76.12,89.25
PXUU,73.67,6,CFIA,ONQM,2023-02-04 09:02:26,73.67,87.56
PXTE,16.68,9,CMDS,ORAU,2023-11-07 08:30:01,16.68,17.2
PJQA,52.3,8,CSFT,OOAO,2023-07-02 17:44:43,52.3,44.2
PUZO,18.56,6,CCLV,OUIF,2023-09-03 14:30:47,18.56,18.2
PEIC,83.56,2,CAZC,OBAU,2023-10-27 07:47:33,83.56,76.74
PKZK,72.15,8,CBWO,OZUL,2023-10-21 00:18:58,72.15,70.74
PTSW,40.62,10,CPRV,OLWL,2023-10-27 03:33:18,40.62,33.79
PFSA,43.14,6,CWTW,OFJB,2023-11-04 21:22:36,43.14,44.81
PAOB,65.16,9,CGWS,OVZC,2023-06-05 08:16:56,65.16,67.15
PYWG,28.06,3,CMTH,OWSU,2023-05-31 11:20:19,28.06,32.05
PXNB,60.97,1,CGJF,OSBI,2023-07-25 23:46:47,60.97,63.21
PGBJ,23.26,6,CLRU,OCOS,2023-09-19 04:52:53,23.26,21.13
PYQW,53.05,3,CDEU,OMQM,2023-10-03 18:03:51,53.05,52.69
PEYA,97.68,5,CJYN,OHWL,2023-10-12 02:07:16,97.68,106.67
PRMC,30.2,5,CHLH,OVSG,2023-04-14 14:04:30,30.2,26.47
PTZK,71.44,7,CLDT,OZXW,2023-03-13 18:14:29,71.44,72.5
PAAM,83.32,3,CZEW,OKCB,2023-07-03 15:26:46,83.32,71.27
PRAL,51.65,9,CTTF,OXDL,2023-07-20 14:16:15,51.65,51.25
PVBA,45.71,2,CIAN,ORAK,2023-11-06 03:41:40,45.71,41.9
PVTD,57.48,10,COXE,OEUQ,2023-11-09 09:05:57,57.48,62.38
POKW,52.1,3,CLLQ,OEXT,2023-03-11 03:37:21,52.1,45.34
PRBS,77.73,9,CUJE,OLXP,2023-01-03 21:39:29,77.73,82.76
POOM,38.0,3,CMIP,ODMF,2023-11-26 14:09:27,38.0,37.65
PMLL,40.23,5,CQVP,OQLV,2023-10-06 19:37:00,40.23,42.8
PFGZ,48.25,4,CMAK,OVPC,2023-05-22 16:30:42,48.25,54.52
PFJE,75.06,6,CYKO,OMRR,2023-12-21 14:18:10,75.06,79.44
PRHT,72.16,3,CHXN,OXBS,2023-01-18 01:08:18,72.16,72.84
POWX,69.18,8,CORQ,OBCR,2023-04-04 01:11:16,69.18,78.88
PWJF,65.13,9,CUMB,OPJJ,2023-05-30 21:24:07,65.13,67.54
PLAN,34.09,2,CSAF,OJQP,2023-10-03 21:08:24,34.09,37.87
PMDR,64.96,7,CUQE,ONAC,2023-03-27 00:18:13,64.96,64.82
POOH,84.62,3,CPPH,OZSI,2023-11-17 16:38:46,84.62,89.23
POKL,51.8,3,CPPN,OCWB,2023-01-03 02:31:00,51.8,57.78
PVHJ,65.89,7,CGRE,OJSG,2023-12-04 03:28:32,65.89,65.28
PDFA,93.53,3,CTXR,OZUX,2023-03-13 02:05:45,93.53,84.71
PQZO,30.68,4,CYWN,OIGB,2023-10-03 14:04:55,30.68,30.08
PIXS,91.12,9,CYLA,OJZR,2023-07-06 11:23:39,91.12,99.16
PRVX,47.43,1,CWVO,OFIX,2023-11-29 20:45:19,47.43,45.42
PVYK,94.97,2,CJWA,OBPB,2023-03-05 12:13:50,94.97,77.41
PEBP,80.64,3,CWBR,ODXU,2023-10-31 09:47:03,80.64,79.09
PCOC,29.36,4,COTL,OFME,2023-02-28 21:24:12,29.36,29.96
PGDX,84.33,10,CPCV,OVJB,2023-07-06 09:58:24,84.33,82.81
PVDV,71.66,1,CBTR,OKFG,2023-03-11 02:04:45,71.66,60.98
PBQZ,23.86,5,CVNW,OTGA,2023-06-27 12:07:55,23.86,19.94
PHID,69.13,4,CFGG,OKKQ,2023-04-04 08:08:11,69.13,56.85
POJM,34.47,7,CDXH,OMHC,2023-11-29 12:23:37,34.47,28.3
PLWE,71.25,4,CQNU,OTVV,2023-05-18 02:20:29,71.25,84.44
PAJD,70.8,6,CMLE,ONUM,2023-11-18 01:46:32,70.8,72.04
PXJR,37.95,4,CCSV,OONQ,2023-10-10 14:35:08,37.95,34.33
PUFI,10.18,8,CLJB,OOVN,2023-01-27 07:00:49,10.18,11.34
PXOI,37.44,5,CYGG,OLFQ,2023-03-07 17:32:00,37.44,30.0
PZKI,78.26,7,CIPD,OAYI,2023-12-13 05:10:48,78.26,71.14
PQVN,17.26,9,CPNQ,OQPK,2023-04-06 18:27:06,17.26,19.95
PHRV,21.77,1,CTCA,OHBQ,2023-05-20 13:55:06,21.77,19.98
POTI,66.88,4,CLTD,OTUE,2023-07-19 12:06:12,66.88,71.77
PPOK,94.72,6,CCWT,OJSM,2023-05-03 06:24:09,94.72,94.44
PUHD,55.88,10,CLTV,OHSJ,2023-11-05 23:49:50,55.88,49.57
PVSK,43.33,8,CUVM,OOQM,2023-09-06 19:24:48,43.33,40.07
PSIK,50.39,6,CUMX,OBWR,2023-01-16 19:17:19,50.39,47.66
PPBN,58.76,5,CYVZ,OQQF,2023-02-26 19:38:07,58.76,63.04
PSCE,21.45,4,CCWL,OHQB,2023-06-30 22:09:17,21.45,25.53
PFIW,86.18,1,CQPE,ODGE,2023-06-18 10:05:11,86.18,75.74
PWTU,67.16,10,CGGH,OPNK,2023-12-09 02:08:41,67.16,78.78
PPPW,53.85,4,CBDA,OQCM,2023-04-30 22:54:24,53.85,64.49
PBMP,75.35,4,CTIL,ODNY,2023-04-01 12:25:10,75.35,87.96
PVVG,11.33,1,CUIK,ONVI,2023-10-20 13:41:54,11.33,9.48
PFDO,70.11,5,CYJQ,OUQT,2023-10-18 05:05:01,70.11,76.16
PFZK,38.11,10,CJRP,OBZB,2023-06-05 16:48:16,38.11,42.2
PXEY,21.8,1,CWHP,ONYP,2023-08-25 20:43:21,21.8,22.43
PIIN,48.88,1,CMNY,OEHC,2023-01-23 08:30:06,48.88,42.78
PYOY,55.37,7,CXNL,OGRA,2023-09-07 03:01:28,55.37,53.57
PEVW,56.01,5,CPCA,OBVH,2023-11-05 15:38:19,56.01,57.31
PXZU,51.28,1,CDNC,OBTU,2023-05-09 01:15:11,51.28,41.45
PFSE,98.48,2,CYLZ,OUBR,2023-02-06 22:07:05,98.48,104.73
PIMK,82.42,3,CJLG,OCUL,2023-10-13 17:08:32,82.42,85.56
PIGB,15.83,7,CXIV,ODOB,2023-03-05 02:56:17,15.83,14.55
PJBI,63.68,8,CTGW,OFAT,2023-03-22 03:23:18,63.68,71.07
PEDD,88.27,8,CLMA,OTYZ,2023-12-16 23:50:14,88.27,92.12
PIWT,47.75,1,CWKM,OIFW,2023-11-19 02:20:05,47.75,54.73
PDFJ,82.19,5,CWFX,OZYY,2023-11-28 19:42:45,82.19,81.16
POHI,56.0,2,CPTQ,OFND,2023-07-09 06:47:19,56.0,58.98
PYHQ,94.96,7,CTEL,ONTZ,2023-05-17 06:46:16,94.96,83.9
PBAZ,35.08,8,CURQ,OEXK,2023-11-08 07:27:52,35.08,31.69
PMMK,57.85,8,CIJI,OCML,2023-06-12 01:15:17,57.85,46.7
PEXH,21.63,1,CUYX,OZSI,2023-09-12 05:51:09,21.63,17.6
PCQH,55.8,8,CMSM,OHFS,2023-04-03 17:10:00,55.8,46.55
PCXR,78.48,4,CKXC,OERJ,2023-05-17 01:38:19,78.48,66.78
PIER,31.8,5,CGSV,OFJY,2023-11-13 03:01:28,31.8,25.69
PLTZ,34.42,9,CTCB,ORYM,2023-11-07 06:56:26,34.42,32.13
PDVL,15.15,1,CGBJ,OHYH,2023-02-25 02:13:21,15.15,13.13
PXUM,22.04,10,CSHZ,OLCG,2023-10-16 23:31:47,22.04,18.11
PHLH,81.87,10,CYXQ,ODAX,2023-06-06 00:28:55,81.87,95.09
PTVA,86.76,2,CADQ,OGWN,2023-12-30 00:48:16,86.76,99.25
PAPT,72.98,7,CNRH,OOUO,2023-04-16 18:02:23,72.98,85.62
PSFN,56.28,6,CWGG,OQVT,2023-07-16 04:38:44,56.28,63.14
PXYO,54.53,3,CFVR,OVDW,2023-09-20 18:52:37,54.53,47.45
PUMZ,39.52,1,CKUH,ONID,2023-10-28 04:23:12,39.52,42.99
PAOZ,24.45,7,CFLN,OVUQ,2023-01-07 21:48:24,24.45,19.87
POYN,42.32,5,CMKB,OOMX,2023-10-10 14:17:42,42.32,47.53
PTMP,18.94,2,CHER,OSPD,2023-03-25 15:10:11,18.94,15.79
PFSO,47.1,5,CVJI,OSOY,2023-04-22 04:57:25,47.1,37.84
PYZL,35.89,8,CRFL,OOXB,2023-10-23 19:43:39,35.89,29.23
PHRR,86.19,9,COLB,OOEC,2023-11-01 09:01:04,86.19,71.13
PNAO,73.62,1,CBCV,ONND,2023-09-22 23:00:55,73.62,59.57
PXHX,51.62,2,CWFF,OVWT,2023-04-08 19:25:42,51.62,59.42
PAAE,67.54,10,CYIX,OZTE,2023-09-12 16:19:40,67.54,57.06
PPBV,44.45,1,CMHK,OETS,2023-01-23 10:51:59,44.45,51.09
POII,98.62,9,CDFL,OSSH,2023-05-12 09:05:45,98.62,79.1
PNLU,53.64,3,CMDL,OUHK,2023-09-04 10:32:43,53.64,51.95
PQJO,19.91,2,CVJW,OLTD,2023-05-30 17:12:41,19.91,20.03
PIBG,84.66,9,CIWO,OVSJ,2023-02-03 23:01:51,84.66,71.37
PEFW,80.26,8,COON,OOEO,2023-05-18 23:48:23,80.26,76.16
PQTZ,82.78,10,CZLJ,ODEB,2023-02-25 21:11:18,82.78,88.62
PULS,40.93,7,CMLD,OYRV,2023-12-18 17:02:12,40.93,48.1
PQML,39.95,6,CJTX,OHXL,2023-05-24 00:48:03,39.95,32.93
PCGK,18.07,4,CPQP,OPEY,2023-12-25 11:16:05,18.07,19.73
PFVG,35.14,1,CYNK,OJYQ,2023-10-14 10:51:54,35.14,34.02
PFOB,86.65,9,CHPA,OWLD,2023-06-20 21:56:17,86.65,96.71
PCPJ,63.6,8,CSST,OFBN,2023-08-03 23:10:57,63.6,64.74
POFU,24.61,6,CMQA,OUDB,2023-06-30 03:51:29,24.61,28.91
PKFO,15.73,10,CEIX,OPNV,2023-09-21 08:05:55,15.73,13.94
PJDW,43.19,4,CGYD,OBDR,2023-04-18 07:46:39,43.19,43.49
PBEZ,39.53,4,CCXT,OYPT,2023-02-16 03:57:06,39.53,40.6
POQB,88.31,5,CESK,OHAS,2023-07-20 14:10:40,88.31,90.4
PPLO,35.66,4,CJRB,OWAJ,2023-12-27 02:49:31,35.66,33.58
PPDK,71.93,4,CNZV,OHKZ,2023-08-29 08:36:48,71.93,64.97
PXLJ,46.66,4,CBLH,OYNE,2023-01-28 02:29:15,46.66,49.92
PHFZ,25.36,4,CHTQ,ONEY,2023-07-14 06:17:08,25.36,24.62
PCJP,28.71,10,CTIF,OOAP,2023-10-25 09:25:52,28.71,25.85
PHPC,17.16,9,CAXU,OFUY,2023-09-30 11:11:56,17.16,14.88
